time step, id0, role0, type0, x0, y0, present0, id1, role1, type1, x1, y1, present1, id2, role2, type2, x2, y2, present2, id3, role3, type3, x3, y3, present3, id4, role4, type4, x4, y4, present4, id5, role5, type5, x5, y5, present5, id6, role6, type6, x6, y6, present6, id7, role7, type7, x7, y7, present7, id8, role8, type8, x8, y8, present8, id9, role9, type9, x9, y9, present9
-1000,68, others, car,37.156372514420035,-2.7533191913859643,1,69, others, car,27.160885534580196,12.600533876683034,1,70, others, car,30.79899537981734,13.603173769161177,1,71.0, others, car,49.807144549228404,-15.676539568803973,1.0,72.0, others, car,2.150972175200721,-2.6930606568572184,1.0,73, others, car,30.26254063297377,22.58156707222993,1.0,74.0, agent, car,-8.702691032761262,-0.023426230923198062,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-900,68, others, car,36.66743162548153,-2.4315649262642185,1,69, others, car,27.160885534580196,12.600533876683034,1,70, others, car,30.79899537981734,13.603173769161177,1,71.0, others, car,49.778050865914956,-15.46057068773251,1.0,72.0, others, car,2.9018586701247644,-2.793612460766055,1.0,73, others, car,30.26807935770637,22.35460530618798,1.0,74.0, agent, car,-7.8040973597868515,-0.018692216727577867,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-800,68, others, car,36.16172366660453,-2.1155150418932096,1,69, others, car,27.160885534580196,12.600533876683034,1,70, others, car,30.8006743003965,13.587231866740074,1,71.0, others, car,49.74941904678569,-15.25559210608712,1.0,72.0, others, car,3.636881237933659,-2.8978514215133013,1.0,73, others, car,30.27402137342548,22.141661181613845,1.0,74.0, agent, car,-6.9055036868125566,-0.01395820253196245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-700,68, others, car,35.64022375591857,-1.8051425506198573,1,69, others, car,27.160885534580196,12.600533876683034,1,70, others, car,30.80225324566926,13.573289200577983,1,71.0, others, car,49.72220622231718,-15.060562718085206,1.0,72.0, others, car,4.354047642368158,-3.0058345144051324,1.0,73, others, car,30.279422549654306,21.941716592725264,1.0,74.0, agent, car,-6.009865380574039,-0.01034926942523398,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-600,68, others, car,35.10195677529413,-1.5004744400971295,1,69, others, car,27.160885534580196,12.600533876683034,1,70, others, car,30.804134104513864,13.552344707508546,1,71.0, others, car,49.69641239250897,-14.875482523726545,1.0,72.0, others, car,5.055396107340592,-3.1184858822648835,1.0,73, others, car,30.28627412265222,21.7548345148284,1.0,74.0, agent, car,-5.120221783113255,-0.006992262237147412,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-500,68, others, car,34.548954948643534,-1.202430853148814,1,69, others, car,27.160894534580198,12.600534876683035,1,70, others, car,30.80730799505961,13.524453375184605,1,71.0, others, car,49.671995569708145,-14.699352404881632,1.0,72.0, others, car,5.73788729080912,-3.234932369922304,1.0,73, others, car,30.29263284381329,21.579948854487238,1.0,74.0, agent, car,-4.237572012560181,-0.003929168620464357,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-400,68, others, car,33.979220039707435,-0.9110957650808648,1,69, others, car,27.160885534580196,12.600533876683034,1,70, others, car,30.810901762136236,13.486570861564207,1,71.0, others, car,49.647872660478974,-14.530216112944306,1.0,72.0, others, car,6.402520310903253,-3.3551319897243097,1.0,73, others, car,30.29850970079017,21.416049493571936,1.0,74.0, agent, car,-3.3638723175207312,-0.002243082011314929,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-300,68, others, car,33.39280003613904,-0.6274592940228997,1,69, others, car,27.160885534580196,12.600538876683036,1,70, others, car,30.814873418090773,13.439696284777096,1,71.0, others, car,49.62504278295104,-14.368031660261366,1.0,72.0, others, car,7.049295167623107,-3.4790847416708965,1.0,73, others, car,30.304933811712786,21.263184419736238,1.0,74.0, agent, car,-2.5021620400372044,-0.0010608472393548313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-200,68, others, car,32.79063406841486,-0.35050733419220803,1,69, others, car,27.160885534580196,12.600533876683034,1,70, others, car,30.82134716214164,13.380916265740234,1,71.0, others, car,49.60342196181841,-14.210800810573552,1.0,72.0, others, car,7.676213624709088,-3.606874601068142,1.0,73, others, car,30.311022021410693,21.11831229093753,1.0,74.0, agent, car,-1.6534822858919795,0.0005746661721921231,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-100,68, others, car,32.17278212418779,-0.08121200371853532,1,69, others, car,27.160885534580196,12.600533876683034,1,70, others, car,30.82832675802945,13.31014782914778,1,71.0, others, car,49.58201107895098,-14.058565551533976,1.0,72.0, others, car,8.283275682161651,-3.7385015679160256,1.0,73, others, car,30.316774329883906,20.981433107175807,1.0,74.0, agent, car,-0.8187481979087214,0.0006232343107556367,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
